Probe id	Gene name	Entrez gene id	Chromosome	Start	End	Cytoband	RefSeq(mRNA)	RefSeq(protein)	BR:MCF7	BR:MDA-MB-231	BR:HS 578T	BR:BT-549	BR:T-47D	CNS:SF-268	CNS:SF-295	CNS:SF-539	CNS:SNB-19	CNS:SNB-75	CNS:U251	CO:COLO 205	CO:HCC-2998	CO:HCT-116	CO:HCT-15	CO:HT29	CO:KM12	CO:SW-620	LE:CCRF-CEM	LE:HL-60(TB)	LE:K-562	LE:MOLT-4	LE:RPMI-8226	LE:SR	ME:LOX IMVI	ME:MALME-3M	ME:M14	ME:SK-MEL-2	ME:SK-MEL-28	ME:SK-MEL-5	ME:UACC-257	ME:UACC-62	ME:MDA-MB-435	ME:MDA-N	LC:A549/ATCC	LC:EKVX	LC:HOP-62	LC:HOP-92	LC:NCI-H226	LC:NCI-H23	LC:NCI-H322M	LC:NCI-H460	LC:NCI-H522	OV:IGROV1	OV:OVCAR-3	OV:OVCAR-4	OV:OVCAR-5	OV:OVCAR-8	OV:SK-OV-3	OV:NCI/ADR-RES	PR:PC-3	PR:DU-145	RE:786-0	RE:A498	RE:ACHN	RE:CAKI-1	RE:RXF 393	RE:SN12C	RE:TK-10	RE:UO-31
JAK1_22	JAK1	3716	1	65298905	65432187	1p32.3-p31.3	NM_002227.2	NP_002218.2	0.809	-0.718	-0.581	1.24	0.305	0.064	-0.036	0.207	-1	0.045	-1.388	0.189	0.445	-0.325	0.141	0.16	-0.319	0.139	0.428	0.588	0.482	-0.199	0.664	0.238	-0.599	-0.361	1.079	0.355	0.484	-0.076	-0.003	-0.316	-0.498	-0.168	0.665	1.61	0.551	0.517	0.399	0.106	1.058	1.177	0.672	-0.073	0.695	1.6	0.68	0.234	1.151	-0.543	0.126	0.219	0.969	0.891	0.896	0.233	0.717	0.302	1.342	0.877
JAK1_26	JAK1	3716	1	65298905	65432187	1p32.3-p31.3	NM_002227.2	NP_002218.2	1.439	1.549	1.767	2.895	1.465	1.618	1.392	1.826	0.499	1.286	0.876	1.801	1.112	1.904	1.838	1.457	1.667	2.338	2.458	2.364	2.175	1.262	1.882	1.886	0.668	1.232	3.134	2.144	1.863	1.69	1.196	1.419	1.485	1.182	2.259	2.526	1.582	2.299	1.743	1.659	1.21	2.296	2.55	2.124	2.288	2.178	1.966	2.335	1.74	1.214	1.753	1.512	2.609	2.798	2.601	1.745	2.605	1.199	2.668	1.894
JAK1_6	JAK1	3716	1	65298905	65432187	1p32.3-p31.3	NM_002227.2	NP_002218.2	1.128	1.661	1.892	2.595	1.449	1.625	2.052	1.88	1.089	1.615	1.645	2.226	2.217	2.23	1.637	1.79	1.8	2.257	3.564	2.935	2.281	1.94	2.575	2.297	1.394	0.898	2.14	1.954	1.665	0.926	1.209	1.395	1.392	1.671	2.443	3.092	2.98	2.733	2.483	2.407	2.113	3.026	2.586	2.084	2.494	2.312	1.839	2.116	2.288	1.546	2.167	2.078	2.824	2.677	2.444	2.608	2.802	1.521	2.43	2.124
GTF2B	GTF2B	2959	1	89318320	89357301	1p22-p21	NM_001514.5	NP_001505.1	1.543	1.64	1.097	0.73	0.497	0.838	0.069	0.497	-1	-1.774	-1.388	1.101	1.521	2.122	1.569	1.358	1.303	1.724	2.876	2.73	2.326	2.07	1.726	2.018	1.446	0.247	2.77	2.224	2.327	1.379	1.476	0.631	0.847	0.699	1.312	2.34	1.539	1.695	1.379	1.655	0.906	2.032	2.295	1.226	1.589	1.196	1.812	1.799	1.237	1.208	1.17	1	1.138	1.259	1.03	0.534	1.355	1.154	1.487	1.027
TNFSF6	FASLG	356	1	172628147	172636012	1q23	NM_000639.1	NP_000630.1	2.03	-0.191	1.019	0.396	0.808	-0.015	0.759	0.07	0.866	-0.195	0.603	-0.45	1.421	0.133	0.7	0.261	0.35	0.572	0.395	-0.215	0.533	-0.725	0.896	0.234	-0.01	1.979	1.992	2.038	0.123	1.564	0.377	0.715	-0.127	-0.488	0.02	2.618	1.398	2.863	0.867	0.555	1.438	2.72	1.39	0.441	2.36	2.162	1.167	-0.071	0.986	-0.506	0.326	-0.423	0.434	0.954	0.02	-2.008	0.088	0.374	0.131	-1.662
MCP	CD46	4179	1	207925382	207968861	1q32	NM_172352.2	NP_758869.1	-0.304	-0.529	-0.581	-0.361	1.433	0.172	-1.533	-0.312	-1	0.003	-1.388	-0.067	-1.23	-2.269	1.023	0.937	-0.133	1.644	-0.744	-0.455	-0.234	-1.514	-0.448	-1.211	0.065	-0.167	-1.068	-0.182	-0.412	-2.218	-1.434	-0.709	-1.419	-0.672	-0.167	1.472	-0.019	1.196	-1.305	-1.014	1.277	0.799	0.145	-1.596	0.152	-0.151	-0.071	-1.579	-0.659	-1.786	0.323	-0.467	-1.682	-1.677	-0.246	-0.247	0.011	-1.186	0.272	-1.662
ENAH	ENAH	55740	1	225674533	225840845	1q42.12	NM_001008493.1	NP_001008493.1	1.865	0.378	3.273	1.831	1.974	1.975	2.375	2.238	3.5	2.82	3.795	-3.571	2.514	3.09	1.803	1.903	2.566	2.429	0.849	1.16	0.449	1.173	1.523	2.261	0.471	1.366	2.961	2.802	1.945	1.612	2.103	3.414	1.782	2.443	2.11	3.062	2.999	3.881	2.277	3.02	2.771	3.278	4.566	2.386	3.479	2.709	1.606	3.387	1.982	2.698	3.571	3.617	3.396	3.284	3.139	3.093	3.646	2.745	3.191	3.824
ADPRT_22	PARP1	142	1	226548391	226595801	1q41-q42	NM_001618.3	NP_001609.2	0.062	-2.2	-0.581	-0.151	0.253	-0.309	-1.533	-1.525	-1	-0.431	-1.388	-0.817	-0.101	-0.498	-0.585	-0.503	-0.73	-0.099	-0.354	-0.124	-0.234	-0.884	0.757	-0.202	-0.628	0.481	0.005	-0.073	0.035	-0.568	-0.136	-1.084	-0.592	-0.205	-1.037	0.775	-1.298	-0.178	-1.305	-0.467	-0.846	-0.647	-1.328	-1.596	-1.334	-0.151	-0.496	-1.579	-0.659	-1.786	-0.257	-0.631	-1.682	-1.677	-2.001	-2.008	-1.597	-1.186	-2.092	-1.662
ADPRT_6	PARP1	142	1	226548391	226595801	1q41-q42	NM_001618.3	NP_001609.2	-0.203	-1.08	-0.581	-0.244	-0.166	-0.599	-1.533	-1.525	-1	-0.113	-1.388	-0.84	0.097	-0.479	-0.96	-1.992	-0.882	-0.219	-0.289	0.068	-0.278	-1.39	0.824	0.143	-0.53	-0.236	-0.189	0.303	1.253	-0.077	1.339	0.01	-0.154	-0.304	-2.087	-0.358	-1.298	-0.107	-1.305	-0.426	0.266	-0.647	-0.143	-0.076	0.177	-0.151	0.857	0.636	-0.659	-1.786	0.823	1.132	0.335	0.144	0.063	0.962	-0.01	-1.186	-0.323	-0.652
MSH2	MSH2	4436	2	47630205	47710367	2p21	NM_000251.2	NP_000242.1	2.923	2.277	2.446	2.419	1.677	2.587	2.013	1.878	3.087	1.234	1.985	3.223	3.106	3.47	2.418	-1.992	1.503	3.521	3.464	3.571	3.342	3.578	3.458	3.549	2.391	1.647	3.052	2.079	2.105	1.711	3.425	2.514	2.795	3.17	2.8	2.819	3.206	2.357	1.795	3.465	1.932	3.508	3.427	1.404	2.99	2.458	3.416	3.192	2.632	2.887	2.275	2.662	2.732	2.905	2.22	2.43	2.276	2.856	2.389	-1.662
