HUGO_symbol	transcript	gene_coordinate	assigned_peak
MST1P2	NR_027504.1	chr1:16972068-16976915:+	chr1:16969737-16972363
NBPF15	NM_001170755.2	chr1:148558187-148596267:+	chr1:148555320-148558128
ACTRT3	NM_032487.4	chr3:169484708-169487683:-	chr3:169489190-169492402
MYNN	NR_033702.1	chr3:169490852-169507504:+	chr3:169489190-169492402
POLR2J3	NM_001097615.2	chr7:102178365-102213068:-	chr7:102211356-102213707
LINC00910	NR_027412.1	chr17:41447212-41466266:-	chr17:41464611-41467398
MIR1302-3	NR_031632.1	chr2:114340535-114340673:-	chr2:114340516-114343096
WASH2P	NR_024077.2	chr2:114341229-114356614:+	chr2:114340516-114343096
NOTCH2NL	NM_203458.4	chr1:145209112-145286270:+	chr1:145208272-145212510
CEP95	NM_001316990.1	chr17:62502853-62534069:+	chr17:62499619-62504912
DDX5	NM_001320597.1	chr17:62494371-62502074:-	chr17:62499619-62504912
MIR5047	NR_039969.1	chr17:62497331-62497431:-	chr17:62499619-62504912
FAM72D	NM_207418.2	chr1:143896451-143913143:-	chr1:143911298-143913298
GGA3	NM_001291641.1	chr17:73232686-73257742:-	chr17:73256276-73259241
MRPS7	NM_015971.3	chr17:73257748-73262457:+	chr17:73256276-73259241
MROH8	NM_152503.5	chr20:35729628-35807991:-	chr20:35805964-35809450
RPN2	NM_001324306.1	chr20:35807448-35870026:+	chr20:35805964-35809450
CASC11	NR_117102.1	chr8:128712852-128746213:-	chr8:128746041-128754507
MYC	NM_002467.4	chr8:128748314-128753680:+	chr8:128746041-128754507
SUPT6H	NM_003170.4	chr17:26989215-27029702:+	chr17:26987782-26990728
SDF2	NM_006923.3	chr17:26975373-26989190:-	chr17:26987782-26990728
LOC100288778	NR_130745.1	chr12:73724-91263:+	chr12:72919-75808
YY1AP1	NM_001198903.1	chr1:155629232-155658447:-	chr1:155655985-155660825
DAP3	NM_001199851.1	chr1:155658881-155708801:+	chr1:155655985-155660825
FTSJ3	NM_017647.3	chr17:61896792-61905031:-	chr17:61903003-61906347
PSMC5	NM_002805.5	chr17:61904769-61909387:+	chr17:61903003-61906347
DNAJC27	NM_016544.2	chr2:25166504-25194963:-	chr2:25193288-25196027
DNAJC27-AS1	NR_034113.1	chr2:25194980-25262563:+	chr2:25193288-25196027
POLR2K	NM_005034.3	chr8:101162838-101166230:+	chr8:101161747-101164206
RBM39	NM_001323423.1	chr20:34291530-34330258:-	chr20:34326292-34330296
NOTCH2	NM_024408.3	chr1:120454175-120612317:-	chr1:120608933-120613123
LOC644656	NR_036539.1	chr11:9481102-9482245:-	chr11:9480449-9482359
ZNF143	NM_001282657.1	chr11:9482511-9550071:+	chr11:9480449-9482359
RBM8A	NM_005105.4	chr1:145507556-145513536:+	chr1:145506374-145509029
FAM72A	NM_001317901.1	chr1:206137264-206155151:+	chr1:206138293-206140486
MCRS1	NM_006337.4	chr12:49952076-49961928:-	chr12:49960590-49963504
POLR2J	NM_006234.4	chr7:102113546-102119381:-	chr7:102117809-102120006
FAM104A	NM_001098832.1	chr17:71203491-71228533:-	chr17:71226717-71230080
C17orf80	NM_001288771.1	chr17:71228371-71241483:+	chr17:71226717-71230080
PDAP1	NM_014891.6	chr7:98992295-99006305:-	chr7:99004183-99008323
BUD31	NM_003910.3	chr7:99006600-99017239:+	chr7:99004183-99008323
ILF2	NM_001267809.1	chr1:153634263-153643504:-	chr1:153641830-153643656
POLR2J2	NM_032959.5	chr7:102277194-102312176:-	chr7:102310416-102312726
SWT1	NM_001105518.1	chr1:185126191-185260913:+	chr1:185124320-185127616
