HUGO_symbol	transcript	gene_coordinate	assigned_peak
LINC00910	NR_027412.1	chr17:41447212-41466266:-	chr17:41464568-41467498
RNU1-3	NR_004408.1	chr1:16993279-16993443:-	chr1:16991146-16995198
RNU1-4	NR_004421.1	chr1:17067010-17067174:+	chr1:17065117-17069277
CHMP3	NM_016079.3	chr2:86730552-86790620:-	chr2:86789160-86791696
RBM39	NM_001323423.1	chr20:34291530-34330258:-	chr20:34326422-34333332
ACTRT3	NM_032487.4	chr3:169484708-169487683:-	chr3:169489294-169492770
MYNN	NR_033702.1	chr3:169490852-169507504:+	chr3:169489294-169492770
LUC7L2	NM_001244585.1	chr7:139025104-139108203:+	chr7:139023878-139028475
FMC1	NR_073060.1	chr7:139025195-139031065:+	chr7:139023878-139028475
C7orf55-LUC7L2	NM_001244584.2	chr7:139025877-139108203:+	chr7:139023878-139028475
GGA3	NM_001291641.1	chr17:73232686-73257742:-	chr17:73256279-73259359
MRPS7	NM_015971.3	chr17:73257748-73262457:+	chr17:73256279-73259359
SRSF1	NM_001078166.1	chr17:56078279-56084707:-	chr17:56082279-56086326
MIR6724-3	NR_128716.1	chrUn_gl000220:148703-148795:+	chrUn_gl000220:147596-149424
AKT1S1	NM_001278159.1	chr19:50372289-50379506:-	chr19:50377452-50383121
TBC1D17	NM_001168222.1	chr19:50380681-50392007:+	chr19:50377452-50383121
MIR6724-1	NR_106782.1	chrUn_gl000220:104731-104823:+	chrUn_gl000220:103541-105493
RNA45S5	NR_046235.1	chrUn_gl000220:105423-118780:+	chrUn_gl000220:103541-105493
SRSF6	NM_006275.5	chr20:42086503-42092245:+	chr20:42085254-42088486
MIR611	NR_030342.1	chr11:61559966-61560033:-	chr11:61557753-61562503
TMEM258	NM_014206.3	chr11:61556601-61560085:-	chr11:61557753-61562503
FEN1	NM_004111.5	chr11:61560108-61564716:+	chr11:61557753-61562503
CWC22	NM_020943.2	chr2:180809603-180871780:-	chr2:180870459-180872758
RNU1-1	NR_004430.2	chr1:16840616-16840780:-	chr1:16838047-16842794
DNAJC27	NM_016544.2	chr2:25166504-25194963:-	chr2:25193234-25197337
DNAJC27-AS1	NR_034113.1	chr2:25194980-25262563:+	chr2:25193234-25197337
NUDCD3	NM_015332.3	chr7:44421964-44530385:-	chr7:44528963-44531367
CLDN6	NM_021195.4	chr16:3064712-3068188:-	chr16:3069352-3075357
TNFRSF12A	NM_016639.2	chr16:3070312-3072384:+	chr16:3069352-3075357
THOC6	NM_001347703.1	chr16:3074019-3077756:+	chr16:3069352-3075357
HCFC1R1	NM_017885.3	chr16:3072620-3074287:-	chr16:3069352-3075357
NUP205	NM_015135.2	chr7:135242661-135333501:+	chr7:135241394-135244332
SRSF5	NM_006925.4	chr14:70233803-70238722:+	chr14:70232473-70235770
LOC100289511	NR_029378.1	chr14:70232999-70234430:-	chr14:70232473-70235770
